organoid_id,day,missing_metabolites,count_missing
BA1_96_1_E6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_E7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_E9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F4,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F5,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F8,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G4,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G5,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G8,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_G9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H4,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H5,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H8,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_H9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A1,Dy24,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_A1,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A10,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A12,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A4,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B3,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_D8,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_E9,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F6,Dy28,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
