well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba1961_F9,232809.16402094412,923949.4572113253,27,25597.788636680783,False,11
ba1961_G1,227564.9800041325,567997.2474420065,27,12608.602497699037,False,11
ba1961_G10,218965.0616553196,1052145.9843022772,27,30858.55269062806,False,11
ba1961_G11,217660.8086355944,1253172.155713237,27,38352.27211398676,False,11
ba1961_G12,213204.61081820008,1354736.5113447472,27,42278.959278761,False,11
ba1961_G2,230553.893174336,1195702.7330902314,27,35746.253330218344,False,11
ba1961_G3,227768.76953846455,1205806.605157081,27,36223.62354143024,False,11
ba1961_G4,216112.00817467077,1064177.1845668494,25,33922.60705568714,False,10
ba1961_G5,217891.77010783742,1646833.8070885045,27,52923.77914743212,False,11
ba1961_G6,219304.71087920637,1455210.6611270409,27,45774.2944536235,False,11
ba1961_G7,222606.10133538573,1479798.6966192005,27,46562.68871421536,False,11
ba1961_G8,226709.06395993783,1169829.8121329232,27,34930.39808048094,False,11
ba1961_G9,232021.17782152683,1061685.2854829251,27,30728.300283755496,False,11
ba1961_H1,240091.24338107638,2513333.309638418,27,84194.15060212376,False,11
ba1961_H10,220079.11110966819,1259070.948075964,27,38481.17914689985,False,11
ba1961_H11,255959.65512106603,1426164.4624300476,27,43340.91878922154,False,11
ba1961_H12,226179.21117067448,1956549.608074071,27,64087.79247790357,False,11
ba1961_H2,231939.66200779402,1020335.3350590554,27,29199.83974263931,False,11
ba1961_H3,220663.30777475343,1321932.9960602743,27,40787.76623279707,False,11
ba1961_H4,227782.35550742,1895790.0999418218,27,61778.06460868155,False,11
ba1961_H5,214522.4498068807,1754803.1220841643,27,57047.43230656606,False,11
ba1961_H6,225635.77241245567,1509448.4021255816,27,47548.615915300965,False,11
ba1961_H7,224535.30892706255,1467027.7138140881,27,46018.23721803799,False,11
ba1961_H8,254071.2054362556,1677748.930098441,27,52728.80461711798,False,11
ba1961_H9,288892.04386912676,2991077.087134539,27,100080.92752834862,False,11
ba2961_A1,0.0,0.0,27,0.0,False,10
ba2961_A10,253120.18760937266,2979006.9509467804,27,100958.76901249659,False,11
ba2961_A11,247862.41762360555,2678012.7967549497,27,90005.56959745719,False,11
ba2961_A12,293185.2100590555,6224460.953164158,27,219676.87937426308,False,11
ba2961_A2,264709.0191283891,3034140.218178607,27,102571.52589074882,False,11
ba2961_A3,263758.0013015061,2386791.5592828845,27,78630.87251782883,False,11
ba2961_A4,251897.45040338032,2684378.8201959124,27,90091.9025849086,False,11
ba2961_A5,261027.22154145656,7556105.263454442,27,270188.0756264069,False,11
ba2961_A6,249682.9374636386,1874278.002381381,27,60170.18758954602,False,11
ba2961_A7,256652.53953779503,969640.7630704694,27,26406.9712419509,False,11
ba2961_A8,254519.54241178615,1441933.5113205062,27,43978.29514476741,False,11
ba2961_A9,262100.51308893872,2374507.275517601,25,84496.27049714648,False,10
ba2961_B1,266570.29687528854,2857741.0181829934,27,95969.28597435943,False,11
ba2961_B10,291269.5884363341,1379616.5662608044,27,40309.14732683223,False,11
ba2961_B11,240281.44694645295,2277381.6151293307,27,75448.15437714363,False,11
ba2961_B12,341007.82078231196,0.0,18,-18944.878932350664,False,6
ba2961_B2,263323.2502949311,1430719.9654428468,27,43236.91537584873,False,11
ba2961_B3,251394.7695520279,642189.6490735353,27,14473.884426722498,False,11
ba2961_B4,255266.77070433702,4362792.9298356315,27,152130.59848634424,False,11
ba2961_B5,251354.0116451615,1503413.3340317025,27,46372.56749579781,False,11
