shared organoids,organoids missing from IDOR's list
BA2_96_2_B2,BA4_96_1_H12
BA2_96_2_B4,BA4_96_1_H2
BA2_96_2_B6,BA4_96_1_H3
BA2_96_2_B7,BA4_96_1_H4
BA2_96_2_B9,BA4_96_1_H5
BA2_96_2_C1,BA4_96_1_H6
BA2_96_2_C10,BA4_96_1_H7
BA2_96_2_C11,BA4_96_1_H8
BA2_96_2_C2,BA4_96_1_H9
BA2_96_2_C3,
BA2_96_2_C4,
BA2_96_2_C5,
BA2_96_2_C6,
BA2_96_2_C7,
BA2_96_2_C9,
BA2_96_2_D10,
BA2_96_2_D11,
BA2_96_2_D2,
BA2_96_2_D3,
BA2_96_2_D4,
BA2_96_2_D6,
BA2_96_2_D8,
BA2_96_2_D9,
BA2_96_2_E1,
BA2_96_2_E10,
BA2_96_2_E11,
BA2_96_2_E12,
BA2_96_2_E2,
BA2_96_2_E4,
BA2_96_2_E5,
BA2_96_2_E6,
BA2_96_2_E7,
BA2_96_2_E8,
BA2_96_2_E9,
BA2_96_2_F1,
BA2_96_2_F11,
BA2_96_2_F12,
BA2_96_2_F2,
BA2_96_2_F3,
BA2_96_2_F4,
BA2_96_2_F5,
BA2_96_2_F6,
BA2_96_2_F7,
BA2_96_2_G1,
BA2_96_2_G10,
BA2_96_2_G11,
BA2_96_2_G12,
BA2_96_2_G2,
BA2_96_2_G3,
BA2_96_2_G4,
BA2_96_2_G5,
BA2_96_2_G6,
BA2_96_2_G7,
BA2_96_2_G8,
BA2_96_2_G9,
BA2_96_2_H1,
BA2_96_2_H10,
BA2_96_2_H11,
BA2_96_2_H2,
BA2_96_2_H3,
BA2_96_2_H4,
BA2_96_2_H5,
BA2_96_2_H6,
BA2_96_2_H7,
BA2_96_2_H8,
BA2_96_2_H9,
