setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,15,0.5700000000000001,0.3181818181818182,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.8888888888888888,0.17142857142857143,0.17142857142857143,0.8888888888888888,0.5301587301587302,8,1,29,6,0.5700000000000001
overlay,0,per_day,8,0.5,0.6590909090909091,0.7941176470588235,0.7714285714285715,0.782608695652174,0.2222222222222222,0.7714285714285715,0.7714285714285715,0.2222222222222222,0.49682539682539684,2,7,8,27,0.53
overlay,0,per_day,8,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.53,0.36363636363636365,0.7692307692307693,0.2857142857142857,0.4166666666666667,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.47619047619047616,6,3,25,10,0.53
overlay,0,per_day,10,0.5,0.4772727272727273,0.9285714285714286,0.37142857142857144,0.5306122448979592,0.8888888888888888,0.37142857142857144,0.37142857142857144,0.8888888888888888,0.6301587301587301,8,1,22,13,0.5
overlay,0,per_day,10,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,10,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,10,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,10,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,10,0.5,0.4772727272727273,0.9285714285714286,0.37142857142857144,0.5306122448979592,0.8888888888888888,0.37142857142857144,0.37142857142857144,0.8888888888888888,0.6301587301587301,8,1,22,13,0.5
overlay,0,per_day,28,0.5,0.8181818181818182,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.5555555555555556,0.8857142857142857,0.8857142857142857,0.5555555555555556,0.7206349206349206,5,4,4,31,0.5700000000000001
overlay,0,per_day,28,0.6,0.3181818181818182,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.8888888888888888,0.17142857142857143,0.17142857142857143,0.8888888888888888,0.5301587301587302,8,1,29,6,0.5700000000000001
overlay,0,per_day,28,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,28,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,28,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,28,0.5700000000000001,0.4090909090909091,0.9090909090909091,0.2857142857142857,0.43478260869565216,0.8888888888888888,0.2857142857142857,0.2857142857142857,0.8888888888888888,0.5873015873015872,8,1,25,10,0.5700000000000001
overlay,0,per_day,17,0.5,0.6363636363636364,0.8275862068965517,0.6857142857142857,0.75,0.4444444444444444,0.6857142857142857,0.6857142857142857,0.4444444444444444,0.5650793650793651,4,5,11,24,0.49
overlay,0,per_day,17,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,17,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,17,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,17,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,17,0.49,0.7272727272727273,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.580952380952381,3,6,6,29,0.49
overlay,0,per_day,13,0.5,0.7954545454545454,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.4444444444444444,0.8857142857142857,0.8857142857142857,0.4444444444444444,0.665079365079365,4,5,4,31,0.5
overlay,0,per_day,13,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,13,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,13,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,13,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
